CHAVE_INTERNA,PORTUGUES,INGLES,NORUEGUES
corporate.benefits.cards.mobility.desc,"Recuperar a liberdade de movimentos que o corpo naturalmente possui","Recovering the freedom of movement the body naturally possesses","Å gjenvinne bevegelsesfriheten kroppen naturlig besitter"
corporate.benefits.cards.mobility.title,"Mobilidade e equilíbrio","Mobility and balance","Mobilitet og balanse"
corporate.benefits.cards.overload.desc,"Interromper o ciclo de tensão antes que ele se instale","Interrupting the tension cycle before it settles in","Å avbryte spenningssyklusen før den setter seg"
corporate.benefits.cards.overload.title,"Redução da sobrecarga","Reducing overload","Reduksjon av overbelastning"
corporate.benefits.cards.pause.desc,"Criar intervalos que renovam a energia ao longo da jornada","Creating intervals that renew energy throughout the day","Å skape intervaller som fornyer energien gjennom dagen"
corporate.benefits.cards.pause.title,"Pausa e recuperação","Pause and recovery","Pause og restitusjon"
corporate.benefits.cards.presence.desc,"Cultivar a capacidade de estar inteiro no que se faz","Cultivating the ability to be fully present in what we do","Å dyrke evnen til å være helt til stede i det man gjør"
corporate.benefits.cards.presence.title,"Presença e atenção","Presence and attention","Tilstedeværelse og oppmerksomhet"
corporate.benefits.cards.selfcare.desc,"Desenvolver o hábito de cuidar de si como parte da rotina","Developing the habit of caring for oneself as part of the routine","Å utvikle vanen med å ta vare på seg selv som del av rutinen"
corporate.benefits.cards.selfcare.title,"Autocuidado","Self-care","Egenomsorg"
corporate.benefits.cards.tension_relief.desc,"Liberar o que se acumula sem que a gente perceba","Releasing what accumulates without us noticing","Å frigjøre det som samler seg opp uten at vi merker det"
corporate.benefits.cards.tension_relief.title,"Alívio de tensões","Tension relief","Spenningslindring"
corporate.benefits.intro,"O Biostretch parte de um princípio simples: o corpo foi feito para se movimentar. Ao trazer mais atenção para a forma como nos posicionamos, respiramos e nos movimentamos, a prática cria oportunidades para desenvolver maior consciência corporal e incorporar hábitos de autocuidado que permanecem para além do workshop.","Biostretch starts from a simple principle: the body was made to move. By bringing more attention to how we position ourselves, breathe, and move, the practice creates opportunities to develop greater body awareness and incorporate self-care habits that last beyond the workshop.","Biostretch starter fra et enkelt prinsipp: kroppen er laget for å bevege seg. Ved å bringe mer oppmerksomhet til hvordan vi posisjonerer oss, puster og beveger oss, skaper praksisen muligheter for å utvikle større kroppsbevissthet og innlemme egenomsorgsvaner som varer utover workshopen."
corporate.benefits.kicker,"MOVIMENTO COM PROPÓSITO","MOVEMENT WITH PURPOSE","BEVEGELSE MED HENSIKT"
corporate.body.p1,"Por meio de práticas que combinam movimento, alongamento, respiração e atenção ao corpo, os colaboradores são convidados a sair do modo automático e desenvolver uma relação mais consciente com sua postura, seus movimentos e seu próprio bem-estar.","Through practices that combine movement, stretching, breathing, and attention to the body, employees are invited to step out of automatic mode and develop a more conscious relationship with their posture, movements, and well-being.","Gjennom praksiser som kombinerer bevegelse, strekking, pust og oppmerksomhet på kroppen, inviteres medarbeiderne til å gå ut av automatmodus og utvikle en mer bevisst relasjon til sin holdning, sine bevegelser og sitt eget velvære."
corporate.body.p2,"Cada empresa tem sua própria dinâmica. Cada equipe enfrenta diferentes desafios físicos e mentais ao longo da jornada de trabalho. Longos períodos diante do computador, tarefas repetitivas, muitas horas em pé, pressão por resultados e uma rotina intensa podem gerar desgaste e acúmulo de tensões que passam despercebidas, até que o corpo dê os seus sinais.","Every company has its own dynamics. Every team faces different physical and mental challenges throughout the workday. Long hours at the computer, repetitive tasks, many hours standing, pressure for results, and an intense routine can generate wear and accumulated tension that goes unnoticed, until the body sends its signals.","Hver bedrift har sin egen dynamikk. Hvert team møter ulike fysiske og mentale utfordringer gjennom arbeidsdagen. Lange perioder foran datamaskinen, repetitive oppgaver, mange timer stående, press for resultater og en intens rutine kan generere slitasje og oppsamlet spenning som går ubemerket hen, helt til kroppen gir sine signaler."
corporate.body.p3,"Por isso, o Biostretch é sempre adaptado às características e necessidades de cada organização. As práticas são construídas para oferecer uma experiência inclusiva e significativa, respeitando diferentes idades, perfis e níveis de condicionamento físico. Não é ginástica laboral. É consciência em movimento.","That is why Biostretch is always adapted to the characteristics and needs of each organization. The practices are built to offer an inclusive and meaningful experience, respecting different ages, profiles, and fitness levels. It is not workplace gymnastics. It is consciousness in movement.","Derfor tilpasses Biostretch alltid til egenskapene og behovene til hver organisasjon. Praksisene er bygget for å tilby en inkluderende og meningsfull opplevelse, som respekterer ulike aldre, profiler og kondisjonsnivåer. Det er ikke arbeidsplassgymnastikk. Det er bevissthet i bevegelse."
corporate.body.pullQuote,"Uma experiência pensada para cada ambiente.","An experience designed for each environment.","En opplevelse designet for hvert miljø."
corporate.closing,"Empresas são feitas de pessoas. Quando existe espaço para o cuidado, para a pausa e para o equilíbrio, criam-se melhores condições para relações mais saudáveis, equipes mais presentes e um ambiente de trabalho verdadeiramente sustentável.","Companies are made of people. When there is space for care, for pause, and for balance, better conditions are created for healthier relationships, more present teams, and a truly sustainable work environment.","Bedrifter er laget av mennesker. Når det finnes rom for omsorg, for pause og for balanse, skapes bedre betingelser for sunnere relasjoner, mer tilstedeværende team og et virkelig bærekraftig arbeidsmiljø."
corporate.cta.button,"Fale Conosco","Contact Us","Kontakt Oss"
corporate.cta.text,"Entre em contato para conhecer as possibilidades de workshops e experiências de Biostretch desenvolvidas para o seu ambiente corporativo.","Get in touch to learn about the possibilities of Biostretch workshops and experiences designed for your corporate environment.","Ta kontakt for å lære om mulighetene for Biostretch-workshops og opplevelser utviklet for ditt bedriftsmiljø."
corporate.cta.title,"Vamos criar uma experiência para a sua equipe?","Shall we create an experience for your team?","Skal vi skape en opplevelse for teamet ditt?"
corporate.hook,"O Biostretch leva para dentro das empresas experiências de movimento e consciência corporal que criam momentos de pausa, reconexão e cuidado, integrando bem-estar à rotina de trabalho de maneira simples, acessível e profunda.","Biostretch brings movement and body awareness experiences into companies, creating moments of pause, reconnection, and care, integrating well-being into the work routine in a simple, accessible, and profound way.","Biostretch bringer opplevelser av bevegelse og kroppsbevissthet inn i bedrifter, og skaper øyeblikk av pause, gjenforening og omsorg, som integrerer velvære i arbeidsrutinen på en enkel, tilgjengelig og dyp måte."
corporate.kicker,"BIOSTRETCH PARA EMPRESAS","BIOSTRETCH FOR COMPANIES","BIOSTRETCH FOR BEDRIFTER"
corporate.subtitle,"Quando existe espaço para a pausa e para o cuidado, o trabalho ganha outra qualidade.","When there is space for pause and care, work gains a different quality.","Når det finnes rom for pause og omsorg, får arbeidet en annen kvalitet."
corporate.title,"Uma pausa para prevenção","A pause for prevention","En pause for forebygging"
corporate.workshops_section.kicker,"WORKSHOPS E EXPERIÊNCIAS","WORKSHOPS AND EXPERIENCES","WORKSHOPS OG OPPLEVELSER"
corporate.workshops_section.p1,"Os workshops de Biostretch são desenhados para proporcionar experiências que vão além de uma simples pausa na rotina. São momentos de reconexão com o corpo, com a respiração e com o presente.","Biostretch workshops are designed to provide experiences that go beyond a simple break in the routine. They are moments of reconnection with the body, with the breath, and with the present.","Biostretch-workshoper er designet for å gi opplevelser som går utover en enkel pause i rutinen. De er øyeblikk av gjenforening med kroppen, med pusten og med nåtiden."
corporate.workshops_section.p2,"Cada encontro cria um espaço para desacelerar, movimentar-se com mais consciência e renovar a energia para seguir o dia com mais presença e equilíbrio.","Each session creates a space to slow down, move with more awareness, and renew energy to continue the day with more presence and balance.","Hvert møte skaper et rom for å senke farten, bevege seg med mer bevissthet og fornye energien for å fortsette dagen med mer tilstedeværelse og balanse."
corporate.workshops_section.p3,"As experiências podem ser realizadas como parte de programas de qualidade de vida, semanas internas, eventos corporativos, encontros de equipes e outras iniciativas voltadas ao bem-estar.","Experiences can be delivered as part of quality of life programs, internal weeks, corporate events, team gatherings, and other well-being initiatives.","Opplevelsene kan leveres som del av livskvalitetsprogrammer, interne uker, bedriftsarrangementer, teammøter og andre velværeinitiativer."
cv.paragraphs,"[""A dança entrou na minha vida por orientação médica. Aos sete anos, o ballet clássico surgiu para corrigir a postura dos pés. A obrigação inicial transformou-se em fascínio. A disciplina das barras e o entusiasmo do mestre João Luiz Rolla definiram o início de uma trajetória guiada pelo movimento."",""O rigor técnico me levou cedo para além do Brasil. Em 1988, recebi uma bolsa na Escola Estatal de Ballet Clássico de Kiev, mergulhando por dois anos no método Vaganova na antiga União Soviética. Em Cuba, atuei no Ballet de Camaguey e no Ballet Nacional, onde a precisão técnica convivia com a intensidade de artistas de diferentes linguagens."",""A necessidade de transcender as formas codificadas do ballet me aproximou da dança contemporânea na Companhia Terpsí. Mais tarde, uma bolsa em Nova York abriu caminho para estudar a técnica Release na Trisha Brown Company e na Movement Research. Foi o primeiro contato com a Educação Somática, descobrindo que o movimento podia nascer do alinhamento ósseo e da escuta, poupando esforço desnecessário."",""Essa investigação expandiu-se em diversas direções. Atuei nos bastidores como assistente de coreografia no Teatro Castro Alves, na Bahia. Formei-me em Letras pela UFRGS, aprofundando o diálogo com a literatura. Tornei-me instrutora de Gyrotonic e educadora pelo Teatro Escola Brincante. Trabalhei em diferentes projetos sociais. Em 2007, cofundei a Porto Alegre Cia de Dança, assumindo a direção artística."",""A partir de 2011, a prática diária da meditação redefiniu a minha relação com o corpo. O foco deslocou-se da forma externa para a qualidade da presença. A respiração consciente e o silêncio tornaram-se matérias do próprio gesto. Dessa convergência entre dança, educação somática e meditação nasceram os métodos Biostretch e Be The Dance."",""Atualmente na Noruega, busco atuar como uma ponte artística com o Brasil. Dessa travessia nasce Dance<span class=\""text-accent text-[1.28em] font-normal\"">2</span>Dance, projeto central que sintetiza décadas de pesquisa corporal, experiência pedagógica e investigação sobre a relação entre técnica, presença e expressão. Sediada na Noruega, a iniciativa é um espaço de encontro e transformação, voltada tanto para bailarinos e artistas quanto para pessoas que desejam aprofundar a relação com o próprio corpo.""]","[""Dance entered my life through medical advice. At seven, classical ballet was recommended to align my foot posture. The initial obligation became a fascination. The discipline of the barres and the enthusiasm of master João Luiz Rolla marked the beginning of a journey guided by movement."",""Technical rigor took me abroad early on. In 1988, I was awarded a scholarship to the Kiev State Classical Ballet School, immersing myself for two years in the Vaganova method in the former Soviet Union. In Cuba, I performed with the Ballet de Camaguey and the National Ballet, where technical precision lived alongside artists from diverse disciplines."",""The urge to transcend the codified forms of ballet led me toward contemporary dance with Companhia Terpsí. Later, a grant in New York opened the door to study Release Technique at the Trisha Brown Company and Movement Research. It was my first encounter with Somatic Education, realizing that movement could emerge from skeletal alignment and listening, sparing unnecessary effort."",""This exploration broadened across several fields. I worked backstage as an assistant choreographer at Teatro Castro Alves in Bahia. I earned a degree in Literature from UFRGS, deepening my connection with language. I became a certified Gyrotonic trainer and an educator through Teatro Escola Brincante. I worked on various social projects. In 2007, I co-founded Porto Alegre Cia de Dança, taking on its artistic direction."",""Beginning in 2011, daily meditation practice redefined my relationship with the body. The focus shifted from external form to the quality of presence. Conscious breathing and silence became components of movement itself. From this convergence of dance, somatic education, and meditation, Biostretch and Be The Dance emerged."",""Currently living in Norway, I act as an artistic bridge with Brazil. From this crossing, Dance<span class=\""text-accent text-[1.28em] font-normal\"">2</span>Dance was born, a central project that synthesizes decades of bodily research, pedagogical experience, and investigation into the relationship between technique, presence, and expression. Based in Norway, the initiative is a space for meeting and transformation, dedicated both to dancers and artists as well as anyone seeking to deepen their relationship with their own body.""]","[""Dans kom inn i livet mitt etter råd fra lege. Som syvåring ble klassisk ballett anbefalt for å rette opp fotstillingen min. Den opprinnelige plikten ble raskt til en fascinasjon. Disiplinen ved barren og entusiasmen til læremester João Luiz Rolla markerte begynnelsen på en reise ledet av bevegelse."",""Teknisk disiplin førte meg tidlig ut i verden. I 1988 mottok jeg et stipend til statens ballettskole i Kiev, og fordypet meg i to år i Vaganova-metoden i det tidligere Sovjetunionen. På Cuba danset jeg med Ballet de Camaguey og Nasjonalballetten, der teknisk presisjon levde side om side med kunstnere fra ulike disipliner."",""Behovet for å gå utover ballettens kodifiserte former førte meg til samtidsdans i Companhia Terpsí. Senere åpnet et stipend i New York døren til å studere Release-teknikk ved Trisha Brown Company og Movement Research. Det ble mitt første møte med somatisk utdanning, der jeg oppdaget at bevegelse kan springe ut fra skjelettets linjer og oppmerksom lytting, uten unødig anstrengelse."",""Denne utforskningen utvidet seg på flere felt. Jeg arbeidet bak scenen som assistentkoreograf ved Teatro Castro Alves i Bahia. Jeg tok en grad i litteratur ved UFRGS og fordypet dialogen med språket. Jeg ble sertifisert Gyrotonic-instruktør og pedagog ved Teatro Escola Brincante. Jeg arbeidet med ulike sosiale prosjekter. I 2007 var jeg med på å grunnlegge Porto Alegre Cia de Dança, og overtok den kunstneriske ledelsen."",""Fra 2011 omdefinerte daglig meditasjonspraksis mitt forhold til kroppen. Fokuset flyttet seg fra den ytre formen til kvaliteten på tilstedeværelsen. Bevisst pust og stillhet ble bestanddeler i selve bevegelsen. Ut fra dette møtet mellom dans, somatisk utdanning og meditasjon ble metodene Biostretch og Be The Dance skapt."",""Nå med base i Norge jobber jeg som en kunstnerisk bro til Brasil. Fra denne kryssingen oppsto Dance<span class=\""text-accent text-[1.28em] font-normal\"">2</span>Dance, et sentralt prosjekt som samler tiår med kroppsforskning, pedagogisk erfaring og undersøkelser av forholdet mellom teknikk, tilstedeværelse og uttrykk. Med base i Norge er initiativet en møteplass og en arena for transformasjon, rettet både mot dansere og kunstnere, så vel som alle som ønsker å fordype forholdet til sin egen kropp.""]"
